Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185741,"Sunday, November 21, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,65,500,325000,178750,0.55,Outlet
Foot Locker,1185741,"Monday, November 22, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,60,250,150000,52500,0.35,Outlet
Foot Locker,1185741,"Tuesday, November 23, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,55,175,96250,38500,0.4,Outlet
Foot Locker,1185741,"Wednesday, November 24, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,55,150,82500,33000,0.4,Outlet
Foot Locker,1185741,"Thursday, November 25, 2021",East,UP-East,Gorakhpur,Men,Apparel,65,150,97500,34125,0.35,Outlet
Foot Locker,1185741,"Friday, November 26, 2021",East,UP-East,Gorakhpur,Women,Apparel,70,300,210000,63000,0.3,Outlet
Foot Locker,1185741,"Saturday, November 27, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,65,500,325000,178750,0.55,Outlet
Foot Locker,1185741,"Sunday, November 28, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,60,300,180000,63000,0.35,Outlet
Foot Locker,1185741,"Monday, November 29, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,55,225,123750,49500,0.4,Outlet
Foot Locker,1185741,"Tuesday, November 30, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,55,175,96250,38500,0.4,Outlet
Foot Locker,1185741,"Wednesday, December 1, 2021",East,UP-East,Gorakhpur,Men,Apparel,65,200,130000,45500,0.35,Outlet
Foot Locker,1185741,"Thursday, December 2, 2021",East,UP-East,Gorakhpur,Women,Apparel,70,375,262500,78750,0.3,Outlet
Foot Locker,1185741,"Friday, December 3, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,65,525,341250,187687.5,0.55,Outlet
Foot Locker,1185741,"Saturday, December 4, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,60,300,180000,63000,0.35,Outlet
Foot Locker,1185741,"Sunday, December 5, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,55,225,123750,49500,0.4,Outlet
Foot Locker,1185741,"Monday, December 6, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,55,200,110000,44000,0.4,Outlet
Foot Locker,1185741,"Tuesday, December 7, 2021",East,UP-East,Gorakhpur,Men,Apparel,65,175,113750,39812.5,0.35,Outlet
Foot Locker,1185741,"Wednesday, December 8, 2021",East,UP-East,Gorakhpur,Women,Apparel,70,350,245000,73500,0.3,Outlet
Foot Locker,1185741,"Thursday, December 9, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,65,475,308750,154375,0.5,Outlet
Foot Locker,1185741,"Friday, December 10, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,50,275,137500,41250,0.3,Outlet
Foot Locker,1185741,"Saturday, December 11, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,45,200,90000,31500,0.35,Outlet
Foot Locker,1185741,"Sunday, December 12, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,45,175,78750,27562.5,0.35,Outlet
Foot Locker,1185741,"Monday, December 13, 2021",East,UP-East,Gorakhpur,Men,Apparel,55,125,68750,20625,0.3,Outlet
Foot Locker,1185741,"Tuesday, December 14, 2021",East,UP-East,Gorakhpur,Women,Apparel,60,225,135000,33750,0.25,Outlet
Foot Locker,1185741,"Wednesday, December 15, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,60,400,240000,120000,0.5,Outlet
Foot Locker,1185741,"Thursday, December 16, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,50,225,112500,33750,0.3,Outlet
Foot Locker,1185741,"Friday, December 17, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,50,125,62500,21875,0.35,Outlet
Foot Locker,1185741,"Saturday, December 18, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,50,100,50000,17500,0.35,Outlet
Foot Locker,1185741,"Sunday, December 19, 2021",East,UP-East,Gorakhpur,Men,Apparel,60,100,60000,18000,0.3,Outlet
Foot Locker,1185741,"Monday, December 20, 2021",East,UP-East,Gorakhpur,Women,Apparel,65,225,146250,36562.5,0.25,Outlet
Foot Locker,1185741,"Tuesday, December 21, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,70,375,262500,144375,0.55,Outlet
Foot Locker,1185741,"Wednesday, December 22, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,60,200,120000,42000,0.35,Outlet
Foot Locker,1185741,"Thursday, December 23, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,60,195,117000,46800,0.4,Outlet
Foot Locker,1185741,"Friday, December 24, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,60,175,105000,42000,0.4,Outlet
Foot Locker,1185741,"Saturday, December 25, 2021",East,UP-East,Gorakhpur,Men,Apparel,70,150,105000,36750,0.35,Outlet
Foot Locker,1185741,"Sunday, December 26, 2021",East,UP-East,Gorakhpur,Women,Apparel,75,250,187500,56250,0.3,Outlet
Foot Locker,1185741,"Monday, December 27, 2021",East,UP-East,Gorakhpur,Men,Street Footwear,70,475,332500,182875,0.55,Outlet
Foot Locker,1185741,"Tuesday, December 28, 2021",East,UP-East,Gorakhpur,Men,Athletic Footwear,60,275,165000,57750,0.35,Outlet
Foot Locker,1185741,"Wednesday, December 29, 2021",East,UP-East,Gorakhpur,Women,Street Footwear,60,225,135000,54000,0.4,Outlet
Foot Locker,1185741,"Thursday, December 30, 2021",East,UP-East,Gorakhpur,Women,Athletic Footwear,60,175,105000,42000,0.4,Outlet
Foot Locker,1185741,"Friday, December 31, 2021",East,UP-East,Gorakhpur,Men,Apparel,70,175,122500,42875,0.35,Outlet
Foot Locker,1185741,"Wednesday, January 1, 2020",East,UP-East,Gorakhpur,Women,Apparel,75,275,206250,61875,0.3,Outlet
Foot Locker,1185742,"Tuesday, October 26, 2021",East,UP-East,Prayagraj,Men,Apparel,42,41,1722,706.02,0.41,Outlet
Foot Locker,1185742,"Wednesday, October 27, 2021",East,UP-East,Prayagraj,Women,Apparel,32,70,2240,761.6,0.34,Outlet
Foot Locker,1185742,"Thursday, October 28, 2021",East,UP-East,Prayagraj,Men,Street Footwear,32,166,5312,3187.2,0.6,Outlet
Foot Locker,1185742,"Friday, October 29, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,32,44,1408,563.2,0.4,Outlet
Foot Locker,1185742,"Saturday, October 30, 2021",East,UP-East,Prayagraj,Women,Street Footwear,25,54,1350,607.5,0.45,Outlet
Foot Locker,1185742,"Sunday, October 31, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,28,17,476,199.92,0.42,Outlet
Foot Locker,1185742,"Monday, November 1, 2021",East,UP-East,Prayagraj,Men,Apparel,39,40,1560,577.2,0.37,Outlet
Foot Locker,1185742,"Tuesday, November 2, 2021",East,UP-East,Prayagraj,Women,Apparel,30,74,2220,777,0.35,Outlet
Foot Locker,1185742,"Wednesday, November 3, 2021",East,UP-East,Prayagraj,Men,Street Footwear,39,156,6084,3528.72,0.58,Outlet
Foot Locker,1185742,"Thursday, November 4, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,33,53,1749,647.13,0.37,Outlet
Foot Locker,1185742,"Friday, November 5, 2021",East,UP-East,Prayagraj,Women,Street Footwear,29,58,1682,756.9,0.45,Outlet
Foot Locker,1185742,"Saturday, November 6, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,32,8,256,112.64,0.44,Outlet
Foot Locker,1185742,"Sunday, November 7, 2021",East,UP-East,Prayagraj,Men,Apparel,41,24,984,334.56,0.34,Outlet
Foot Locker,1185742,"Monday, November 8, 2021",East,UP-East,Prayagraj,Women,Apparel,38,61,2318,718.58,0.31,Outlet
Foot Locker,1185742,"Tuesday, November 9, 2021",East,UP-East,Prayagraj,Men,Street Footwear,35,140,4900,2793,0.57,Outlet
Foot Locker,1185742,"Wednesday, November 10, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,37,51,1887,603.84,0.32,Outlet
Foot Locker,1185742,"Thursday, November 11, 2021",East,UP-East,Prayagraj,Women,Street Footwear,27,51,1377,578.34,0.42,Outlet
Foot Locker,1185742,"Friday, November 12, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,36,24,864,328.32,0.38,Outlet
Foot Locker,1185742,"Saturday, November 13, 2021",East,UP-East,Prayagraj,Men,Apparel,45,26,1170,432.9,0.37,Outlet
Foot Locker,1185742,"Sunday, November 14, 2021",East,UP-East,Prayagraj,Women,Apparel,39,64,2496,673.92,0.27,Outlet
Foot Locker,1185742,"Monday, November 15, 2021",East,UP-East,Prayagraj,Men,Street Footwear,44,150,6600,3432,0.52,Outlet
Foot Locker,1185742,"Tuesday, November 16, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,40,54,2160,712.8,0.33,Outlet
Foot Locker,1185742,"Wednesday, November 17, 2021",East,UP-East,Prayagraj,Women,Street Footwear,38,53,2014,745.18,0.37,Outlet
Foot Locker,1185742,"Thursday, November 18, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,42,34,1428,571.2,0.4,Outlet
Foot Locker,1185742,"Friday, November 19, 2021",East,UP-East,Prayagraj,Men,Apparel,51,39,1989,735.93,0.37,Outlet
Foot Locker,1185742,"Saturday, November 20, 2021",East,UP-East,Prayagraj,Women,Apparel,51,78,3978,1471.86,0.37,Outlet
Foot Locker,1185742,"Sunday, November 21, 2021",East,UP-East,Prayagraj,Men,Street Footwear,49,170,8330,4748.1,0.57,Outlet
Foot Locker,1185742,"Monday, November 22, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,41,85,3485,1359.15,0.39,Outlet
Foot Locker,1185742,"Tuesday, November 23, 2021",East,UP-East,Prayagraj,Women,Street Footwear,42,54,2268,975.24,0.43,Outlet
Foot Locker,1185742,"Wednesday, November 24, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,43,53,2279,1071.13,0.47,Outlet
Foot Locker,1185742,"Thursday, November 25, 2021",East,UP-East,Prayagraj,Men,Apparel,43,48,2064,866.88,0.42,Outlet
Foot Locker,1185742,"Friday, November 26, 2021",East,UP-East,Prayagraj,Women,Apparel,52,105,5460,1911,0.35,Outlet
Foot Locker,1185742,"Saturday, November 27, 2021",East,UP-East,Prayagraj,Men,Street Footwear,49,175,8575,4887.75,0.57,Outlet
Foot Locker,1185742,"Sunday, November 28, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,45,99,4455,1737.45,0.39,Outlet
Foot Locker,1185742,"Monday, November 29, 2021",East,UP-East,Prayagraj,Women,Street Footwear,43,72,3096,1331.28,0.43,Outlet
Foot Locker,1185742,"Tuesday, November 30, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,39,56,2184,1026.48,0.47,Outlet
Foot Locker,1185742,"Wednesday, December 1, 2021",East,UP-East,Prayagraj,Men,Apparel,50,64,3200,1280,0.4,Outlet
Foot Locker,1185742,"Thursday, December 2, 2021",East,UP-East,Prayagraj,Women,Apparel,50,116,5800,2088,0.36,Outlet
Foot Locker,1185742,"Friday, December 3, 2021",East,UP-East,Prayagraj,Men,Street Footwear,51,179,9129,5294.82,0.58,Outlet
Foot Locker,1185742,"Saturday, December 4, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,44,102,4488,1884.96,0.42,Outlet
Foot Locker,1185742,"Sunday, December 5, 2021",East,UP-East,Prayagraj,Women,Street Footwear,38,79,3002,1410.94,0.47,Outlet
Foot Locker,1185742,"Monday, December 6, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,43,62,2666,1226.36,0.46,Outlet
Foot Locker,1185742,"Tuesday, December 7, 2021",East,UP-East,Prayagraj,Men,Apparel,46,54,2484,968.76,0.39,Outlet
Foot Locker,1185742,"Wednesday, December 8, 2021",East,UP-East,Prayagraj,Women,Apparel,49,123,6027,2169.72,0.36,Outlet
Foot Locker,1185742,"Thursday, December 9, 2021",East,UP-East,Prayagraj,Men,Street Footwear,46,162,7452,3875.04,0.52,Outlet
Foot Locker,1185742,"Friday, December 10, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,40,91,3640,1237.6,0.34,Outlet
Foot Locker,1185742,"Saturday, December 11, 2021",East,UP-East,Prayagraj,Women,Street Footwear,32,60,1920,768,0.4,Outlet
Foot Locker,1185742,"Sunday, December 12, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,32,53,1696,695.36,0.41,Outlet
Foot Locker,1185742,"Monday, December 13, 2021",East,UP-East,Prayagraj,Men,Apparel,36,41,1476,501.84,0.34,Outlet
Foot Locker,1185742,"Tuesday, December 14, 2021",East,UP-East,Prayagraj,Women,Apparel,48,79,3792,1175.52,0.31,Outlet
Foot Locker,1185742,"Wednesday, December 15, 2021",East,UP-East,Prayagraj,Men,Street Footwear,47,124,5828,3088.84,0.53,Outlet
Foot Locker,1185742,"Thursday, December 16, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,35,68,2380,761.6,0.32,Outlet
Foot Locker,1185742,"Friday, December 17, 2021",East,UP-East,Prayagraj,Women,Street Footwear,38,38,1444,548.72,0.38,Outlet
Foot Locker,1185742,"Saturday, December 18, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,40,34,1360,516.8,0.38,Outlet
Foot Locker,1185742,"Sunday, December 19, 2021",East,UP-East,Prayagraj,Men,Apparel,43,30,1290,425.7,0.33,Outlet
Foot Locker,1185742,"Monday, December 20, 2021",East,UP-East,Prayagraj,Women,Apparel,42,74,3108,994.56,0.32,Outlet
Foot Locker,1185742,"Tuesday, December 21, 2021",East,UP-East,Prayagraj,Men,Street Footwear,48,124,5952,3571.2,0.6,Outlet
Foot Locker,1185742,"Wednesday, December 22, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,43,68,2924,1228.08,0.42,Outlet
Foot Locker,1185742,"Thursday, December 23, 2021",East,UP-East,Prayagraj,Women,Street Footwear,47,66,3102,1364.88,0.44,Outlet
Foot Locker,1185742,"Friday, December 24, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,43,60,2580,1186.8,0.46,Outlet
Foot Locker,1185742,"Saturday, December 25, 2021",East,UP-East,Prayagraj,Men,Apparel,51,48,2448,954.72,0.39,Outlet
Foot Locker,1185742,"Sunday, December 26, 2021",East,UP-East,Prayagraj,Women,Apparel,53,75,3975,1431,0.36,Outlet
Foot Locker,1185742,"Monday, December 27, 2021",East,UP-East,Prayagraj,Men,Street Footwear,53,143,7579,4623.19,0.61,Outlet
Foot Locker,1185742,"Tuesday, December 28, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,47,85,3995,1637.95,0.41,Outlet
Foot Locker,1185742,"Wednesday, December 29, 2021",East,UP-East,Prayagraj,Women,Street Footwear,44,79,3476,1529.44,0.44,Outlet
Foot Locker,1185740,"Thursday, December 30, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,40,53,2120,954,0.45,Outlet
Foot Locker,1185740,"Friday, December 31, 2021",East,UP-East,Ayodhya,Men,Apparel,46,56,2576,1004.64,0.39,Outlet
Foot Locker,1185740,"Wednesday, January 1, 2020",East,UP-East,Ayodhya,Women,Apparel,53,83,4399,1407.68,0.32,Outlet
Foot Locker,1185740,"Tuesday, October 26, 2021",East,UP-East,Ayodhya,Men,Apparel,54,36,1944,874.8,0.45,Online
Foot Locker,1185740,"Wednesday, October 27, 2021",East,UP-East,Ayodhya,Women,Apparel,43,61,2623,1154.12,0.44,Online
Foot Locker,1185740,"Thursday, October 28, 2021",East,UP-East,Ayodhya,Men,Street Footwear,42,119,4998,3348.66,0.67,Online
Foot Locker,1185740,"Friday, October 29, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,44,35,1540,739.2,0.48,Online
Foot Locker,1185740,"Saturday, October 30, 2021",East,UP-East,Ayodhya,Women,Street Footwear,34,46,1564,813.28,0.52,Online
Foot Locker,1185740,"Sunday, October 31, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,39,13,507,263.64,0.52,Online
Foot Locker,1185740,"Monday, November 1, 2021",East,UP-East,Ayodhya,Men,Apparel,51,36,1836,844.56,0.46,Online
Foot Locker,1185740,"Tuesday, November 2, 2021",East,UP-East,Ayodhya,Women,Apparel,44,68,2992,1346.4,0.45,Online
Foot Locker,1185740,"Wednesday, November 3, 2021",East,UP-East,Ayodhya,Men,Street Footwear,49,120,5880,4116,0.7,Online
Foot Locker,1185740,"Thursday, November 4, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,47,38,1786,875.14,0.49,Online
Foot Locker,1185740,"Friday, November 5, 2021",East,UP-East,Ayodhya,Women,Street Footwear,36,51,1836,991.44,0.54,Online
Foot Locker,1185740,"Saturday, November 6, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,43,8,344,175.44,0.51,Online
Foot Locker,1185740,"Sunday, November 7, 2021",East,UP-East,Ayodhya,Men,Apparel,58,20,1160,464,0.4,Online
Foot Locker,1185740,"Monday, November 8, 2021",East,UP-East,Ayodhya,Women,Apparel,47,44,2068,723.8,0.35,Online
Foot Locker,1185740,"Tuesday, November 9, 2021",East,UP-East,Ayodhya,Men,Street Footwear,46,122,5612,3535.56,0.63,Online
Foot Locker,1185740,"Wednesday, November 10, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,45,45,2025,850.5,0.42,Online
Foot Locker,1185740,"Thursday, November 11, 2021",East,UP-East,Ayodhya,Women,Street Footwear,38,38,1444,664.24,0.46,Online
Foot Locker,1185740,"Friday, November 12, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,42,20,840,386.4,0.46,Online
Foot Locker,1185740,"Saturday, November 13, 2021",East,UP-East,Ayodhya,Men,Apparel,55,22,1210,508.2,0.42,Online
Foot Locker,1185740,"Sunday, November 14, 2021",East,UP-East,Ayodhya,Women,Apparel,48,54,2592,933.12,0.36,Online
Foot Locker,1185740,"Monday, November 15, 2021",East,UP-East,Ayodhya,Men,Street Footwear,58,136,7888,4969.44,0.63,Online
Foot Locker,1185740,"Tuesday, November 16, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,54,53,2862,1144.8,0.4,Online
Foot Locker,1185740,"Wednesday, November 17, 2021",East,UP-East,Ayodhya,Women,Street Footwear,52,42,2184,1004.64,0.46,Online
Foot Locker,1185740,"Thursday, November 18, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,51,29,1479,695.13,0.47,Online
Foot Locker,1185740,"Friday, November 19, 2021",East,UP-East,Ayodhya,Men,Apparel,59,31,1829,768.18,0.42,Online
Foot Locker,1185740,"Saturday, November 20, 2021",East,UP-East,Ayodhya,Women,Apparel,64,63,4032,1814.4,0.45,Online
Foot Locker,1185740,"Sunday, November 21, 2021",East,UP-East,Ayodhya,Men,Street Footwear,64,135,8640,5616,0.65,Online
Foot Locker,1185740,"Monday, November 22, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,59,70,4130,1899.8,0.46,Online
Foot Locker,1185740,"Tuesday, November 23, 2021",East,UP-East,Ayodhya,Women,Street Footwear,52,44,2288,1144,0.5,Online
Foot Locker,1185740,"Wednesday, November 24, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,52,39,2028,1074.84,0.53,Online
Foot Locker,1185740,"Thursday, November 25, 2021",East,UP-East,Ayodhya,Men,Apparel,60,45,2700,1242,0.46,Online
Foot Locker,1185740,"Friday, November 26, 2021",East,UP-East,Ayodhya,Women,Apparel,65,81,5265,2211.3,0.42,Online
Foot Locker,1185740,"Saturday, November 27, 2021",East,UP-East,Ayodhya,Men,Street Footwear,60,145,8700,5829,0.67,Online
Foot Locker,1185740,"Sunday, November 28, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,55,90,4950,2475,0.5,Online
Foot Locker,1185740,"Monday, November 29, 2021",East,UP-East,Ayodhya,Women,Street Footwear,51,59,3009,1504.5,0.5,Online
Foot Locker,1185740,"Tuesday, November 30, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,51,44,2244,1189.32,0.53,Online
Foot Locker,1185740,"Wednesday, December 1, 2021",East,UP-East,Ayodhya,Men,Apparel,64,60,3840,1843.2,0.48,Online
Foot Locker,1185740,"Thursday, December 2, 2021",East,UP-East,Ayodhya,Women,Apparel,64,98,6272,2634.24,0.42,Online
Foot Locker,1185740,"Friday, December 3, 2021",East,UP-East,Ayodhya,Men,Street Footwear,60,158,9480,6256.8,0.66,Online
Foot Locker,1185740,"Saturday, December 4, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,54,75,4050,1903.5,0.47,Online
Foot Locker,1185740,"Sunday, December 5, 2021",East,UP-East,Ayodhya,Women,Street Footwear,54,61,3294,1811.7,0.55,Online
Foot Locker,1185740,"Monday, December 6, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,53,58,3074,1659.96,0.54,Online
Foot Locker,1185740,"Tuesday, December 7, 2021",East,UP-East,Ayodhya,Men,Apparel,61,46,2806,1290.76,0.46,Online
Foot Locker,1185740,"Wednesday, December 8, 2021",East,UP-East,Ayodhya,Women,Apparel,64,95,6080,2614.4,0.43,Online
Foot Locker,1185740,"Thursday, December 9, 2021",East,UP-East,Ayodhya,Men,Street Footwear,62,143,8866,5319.6,0.6,Online
Foot Locker,1185740,"Friday, December 10, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,48,80,3840,1536,0.4,Online
Foot Locker,1185740,"Saturday, December 11, 2021",East,UP-East,Ayodhya,Women,Street Footwear,41,50,2050,922.5,0.45,Online
Foot Locker,1185740,"Sunday, December 12, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,41,53,2173,1021.31,0.47,Online
Foot Locker,1185740,"Monday, December 13, 2021",East,UP-East,Ayodhya,Men,Apparel,50,36,1800,810,0.45,Online
Foot Locker,1185740,"Tuesday, December 14, 2021",East,UP-East,Ayodhya,Women,Apparel,55,61,3355,1342,0.4,Online
Foot Locker,1185740,"Wednesday, December 15, 2021",East,UP-East,Ayodhya,Men,Street Footwear,55,104,5720,3546.4,0.62,Online
Foot Locker,1185740,"Thursday, December 16, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,47,63,2961,1243.62,0.42,Online
Foot Locker,1185740,"Friday, December 17, 2021",East,UP-East,Ayodhya,Women,Street Footwear,48,34,1632,734.4,0.45,Online
Foot Locker,1185740,"Saturday, December 18, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,48,29,1392,626.4,0.45,Online
Foot Locker,1185740,"Sunday, December 19, 2021",East,UP-East,Ayodhya,Men,Apparel,56,27,1512,650.16,0.43,Online
Foot Locker,1185740,"Monday, December 20, 2021",East,UP-East,Ayodhya,Women,Apparel,60,63,3780,1474.2,0.39,Online
Foot Locker,1185740,"Tuesday, December 21, 2021",East,UP-East,Ayodhya,Men,Street Footwear,66,113,7458,4847.7,0.65,Online
Foot Locker,1185740,"Wednesday, December 22, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,55,60,3300,1551,0.47,Online
Foot Locker,1185740,"Thursday, December 23, 2021",East,UP-East,Ayodhya,Women,Street Footwear,55,55,3025,1603.25,0.53,Online
Foot Locker,1185740,"Friday, December 24, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,56,44,2464,1256.64,0.51,Online
Foot Locker,1185740,"Saturday, December 25, 2021",East,UP-East,Ayodhya,Men,Apparel,64,42,2688,1290.24,0.48,Online
Foot Locker,1185740,"Sunday, December 26, 2021",East,UP-East,Ayodhya,Women,Apparel,71,65,4615,2030.6,0.44,Online
Foot Locker,1185740,"Monday, December 27, 2021",East,UP-East,Ayodhya,Men,Street Footwear,67,124,8308,5732.52,0.69,Online
Foot Locker,1185740,"Tuesday, December 28, 2021",East,UP-East,Ayodhya,Men,Athletic Footwear,55,69,3795,1707.75,0.45,Online
Foot Locker,1185740,"Wednesday, December 29, 2021",East,UP-East,Ayodhya,Women,Street Footwear,55,65,3575,1894.75,0.53,Online
Foot Locker,1185740,"Thursday, December 30, 2021",East,UP-East,Ayodhya,Women,Athletic Footwear,57,53,3021,1601.13,0.53,Online
